################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2021-11-10 17:32:38 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2021-11-10 17:32:38", "efc9deae21fc5b4c8ebfc3ecd56d62c5b5bf5f6cef0cfbdb250c3683f1e25eda", "d25378d986ec34642de21513c95218e0", "631bf00c986aa867d308135050ba0104ff4143d0", "JaffaCakes118", "Aer0 Spoofer - Stable .exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "06c6e92acd3ff57b00b3132976b3f6d6", "12288:aWWzIRlRn2/rw7INjVGCXZq0iiIxTh5TQdIJWjI0g0A8Reqr4d:aWUWrnIrw7I1VGCXZbiiYQdAWngR8o", "T18DC4AE17E6428076E4632430269D9F6259BD76300A26557BF3C42E2D9EF02F2AB35F37"
"2021-11-10 17:27:13", "fcff42ff054b0f51f2eab26562686844e365ea6bf50e2a0a6508bf8d34a63ba4", "1df77e57e0b2d789baf798b381d2c007", "e15d7b2c3f6dabb5d19fd915dbca09d2e3fe60d7", "James_inthe_box", "download.dat.dll", "dll", "application/x-dosexec", "n/a", "n/a", "n/a", "dae02f32a21e03ce65412f6e56942daa", "12288:gdEG94KcHomlPaAoZq8O0cZFzZkdbVdBSedwFqY:bG+bomlCAoyRFzZkdbXM4wFq", "T1E7B4CF2936968F41C7981EBBD0E3502027F2D9826733D75E3E8513E71D533AAAD423DA"
"2021-11-10 17:19:57", "0b9463a6187c5678aeeb8ef72b969237ab426f2b80918a0388c4990764df991b", "9e3b627444c74a1ea5414c97335181bf", "63765f37bdd6aee5ff659128153f3e8da11071c4", "zbetcheckin", "9e3b627444c74a1ea5414c97335181bf", "elf", "application/x-executable", "Mirai", "n/a", "48.33", "n/a", "1536:GIp3pm+D/ZRmqvcl6M80X+HsoFCeJRWXdTizu5PGVVoLm2MZqTMiRvh/x:Gcp//ZA+cl6FMoFZWTNdMu", "T19FB3D505BF514FE7EC9BCC3749AA6B45258DA50A21A57B36BD30DC08F68B24F1AE3470"
"2021-11-10 17:17:25", "b1cf5caca51e527a91800689d7b0cb6193c92c0aeb26642c81116bbb744765bd", "ea7ecc7f0c9c21aa0bcab0be39f6cb8d", "532e1de073ff23a2a9b3d9b852c62042e9729a45", "GovCERT_CH", "Payment transfer.exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "f34d5f2d4577ed6d9ceec516c1f5a744", "12288:TPLLm43N0eP3qJFTPjlwl58PEewfvqSXzTHQPhK8VmvNAVf+jMwaDJsoSvBp6d9t:qKl3qnlwl58lCvq4wPnVmvNAeYDS5B2", "T162354ABE325076DECAABCE7ACE541D54EEA07477531BC207A02305AC9A8D997CF141F2"
"2021-11-10 17:16:33", "b24e47b63ec35e9a420b9fbb64106b2f9e6e8a18676e8c79ff2ca67af06f1291", "ea7575b75f67083c962e3fa326f6299a", "1270e4a9801c1f5a20caf4ad95f7b53989399241", "fr0s7_", "d4.dll", "exe", "application/x-dosexec", "n/a", "n/a", "6.15", "9e9b9dc9a1d7fc9680151ec542607c93", "3072:4k1uIY7yyiztyzuyb6Jdn+WTxwMpz8wFLMsR83sOhchfA5+IhOh/oUOmi0Uugawl:7lFBhTPJ3zZ123sMch1xli0fwVLFf", "T16F44D05B63A51C7BE163827DC4634A14DB31B8124A21DBAF03A4876A2F677D09D3EF31"
"2021-11-10 17:08:24", "ea6a7d9b5c0cae2424446fb88ace1a9c91e46b101702d0aea2035676eff206da", "2f88c8f64d3ed696ee7883a3afbd2f7f", "ca11874b15ad665a549a69ee13fb25eca498c4c6", "c0r3dump3d11", "Akuryo.0curl", "elf", "application/x-executable", "n/a", "n/a", "36.67", "n/a", "384:T+KjHts1vDLsfL6uJlXJcpxOwovCsP3qaYiV4oiqDl83wsagc9iFqcJsJ:64HQDLsTfXSWwovhPa2V9bDlWEseJ", "T1EC92D07B96BB1147CD89A1F2CF1AD6668DF63C4637CAA03B39E9574823115CCC026F0A"
"2021-11-10 17:06:56", "85c25c523bf8a24c2d4eda60e343729175635dfd590cb3e42732ecc27e55b0d3", "9c40183bdbf463768131f9556e0203f5", "abb6afa6efa6ed711c24b89452ec46ebd07c2b17", "GovCERT_CH", "Folha de pedido de compra.pdf.exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "f34d5f2d4577ed6d9ceec516c1f5a744", "6144:dlf1HiRA9NkaJsNIuGWPK/9lqbrziFukmTgTAIHOP3DNy:dlfh/kaJKIusOmQkh0IHyN", "T10C74128063BC4BA5E5BF0BFA48B2B0E09BF5620F6892D3182DD575CF68457900752FA7"
"2021-11-10 17:06:50", "7dcd93c59526a96e4bad041318f1dbcca79f3073fcd020caba56207ac9326395", "5194f9314a81050fac3008fd1e145471", "0cfffe17e9620c7f19eae6a3ea7aabed0dbff1b4", "James_inthe_box", "Invoice 2021-11-10.exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "f34d5f2d4577ed6d9ceec516c1f5a744", "768:v1VaXEqcenQ5H2YycYeFePyJrkcvPhOS4/Vi3xnehErtX+GsMr:v1U0qcfHJycYeeQzPhOvVihneW9+K", "T163539E3A67A8C4EAD715E475E047F351622B6EE6DB40041F33A03E8F2CB75858EEE491"
"2021-11-10 17:02:32", "b74af870182e39b85ee204bd88360729d2403e42bdf01e500cf4cdf5a136fc1f", "6f57b126e7ed4d297559ef6b0bc7ca12", "10c00244ffd8e34a8fc09e153721c531f99a218d", "zbetcheckin", "6f57b126e7ed4d297559ef6b0bc7ca12", "elf", "application/x-executable", "Mirai", "n/a", "45.90", "n/a", "3072:VUlKQhZ6C+YkGmUBWnLsBH3wp2xEEx4OeHrWE:VUlNt+YkGjknoBXwQHKOeH", "T1CCA32889BC818A12C5D513BAFA2D01CD331263B8D3DF72228D115F6477CA96F0DB7A96"
"2021-11-10 17:02:18", "12eea2d7c44ef37d5fded930cd40c8220544acab1b9d25b608f313a0ccc811cf", "4833602f23a71a823580ff7c2b6d9156", "3e9c0971cb96d1b99e9eabaf2d1d4dd6062f157f", "James_inthe_box", "44508.5578762732.dat.dll", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "49051d296c93ec16aabb34a0c944ce40", "12288:ytW9E0n/KEQdReSnG4depeYj09jApWCmnkw5Q9hBTfX/GpaJbk:yt8EOun7ddNApyQhO05", "T1A67539D5A9399543F3A5C0345034FAA9A5DA3D767B4790F7F028BA90C1277E010BEA8F"
